all_samples_flattening_rmse,M_step_rmse
259.59457,
,145.2472
,168.33214
,193.33162
,218.28636
,231.70792
,230.31976
,236.70163
,247.50801
,247.95667
,253.22424
,294.84747
,273.15674
,278.28824
,288.06213
,280.71625
,282.36212
,294.72552
,294.0036
,284.26233
,284.4531
,282.8768
,279.00058
,280.85294
,284.59525
