all_samples_flattening_rmse,M_step_rmse
259.1972,
,142.02725
,160.84367
,178.02489
,190.48148
,197.01262
,205.42966
,210.18478
,221.61316
,234.40733
,241.61072
,245.59953
,255.2109
,259.82095
,285.0346
,278.97974
,286.99875
,293.8602
,293.7715
,306.65726
,319.6207
,299.7782
,334.66428
,325.44388
,315.77872
