,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,465.85617,454.49875,420.25833,459.5917,418.56567,436.5674,377.81976,357.40607,346.93668,362.76376,312.489,322.05362
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,406.88385,391.84326,385.6282,437.14587,375.2251,393.8306,353.31708,321.46024,328.6435,347.80618,291.5393,312.91406
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,375.76114,380.4221,383.1337,401.409,346.71265,377.82703,329.2448,311.4122,318.962,332.00522,281.25912,305.37918
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,374.27954,385.7381,355.26077,370.90262,330.60196,347.38272,318.53766,299.6839,294.9227,315.13623,263.72388,282.86276
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,374.61682,347.42667,319.07608,349.79504,294.8146,328.13788,298.0596,269.03033,263.901,292.18533,234.81013,242.064
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,372.74857,341.88315,324.48196,331.48077,289.90735,318.49265,277.17926,254.4406,254.76535,280.13608,206.0621,230.38538
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,367.06348,339.33798,305.9721,323.64285,275.74142,292.95117,253.83925,240.57732,246.33463,252.79578,197.1843,213.65097
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,351.28906,302.4638,278.6776,296.3478,240.31877,263.66946,231.87646,220.17567,209.9838,244.29599,176.47514,215.53423
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,291.69904,262.18683,241.89093,257.4385,213.45932,244.0913,212.58655,188.57793,204.84164,222.58339,179.39279,211.4418
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,262.3111,237.27527,213.16455,239.10141,192.93431,233.38368,186.17523,177.81207,187.47894,223.92307,186.20644,197.05359
10,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,248.16718,217.4111,203.66634,232.30606,189.53607,212.91621,177.74763,161.44191,187.80527,226.52036,164.03764,214.69012
11,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,244.36249,213.65073,199.63689,238.42584,174.93585,213.74968,165.20616,167.14912,188.2854,203.48384,177.39748,209.65773
12,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,249.89372,222.11545,207.11736,227.8767,174.74292,212.13295,180.97847,170.68088,167.08336,214.14792,180.55171,215.53413
13,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,236.68263,217.748,186.7216,224.41621,172.0946,219.5904,176.2545,151.39066,170.377,204.2136,163.92941,215.1569
14,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,236.87752,198.00389,183.19989,217.92105,175.8459,214.72273,152.13058,161.96542,165.35089,191.48889,160.4979,210.37071
15,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,211.34494,190.72958,170.17236,214.82161,160.59424,189.60358,159.78664,151.3348,149.93456,178.40523,157.46205,195.42798
16,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,221.11452,194.87767,178.08466,209.26015,143.63835,201.02759,155.0739,145.35161,145.79086,177.76944,140.29942,179.26611
17,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,208.22498,185.47032,158.5701,175.04756,140.98639,187.6521,131.13803,126.24637,125.32261,149.14548,122.619606,173.86237
18,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,240.50533,194.96057,151.72827,195.2531,144.7055,177.77791,124.54083,127.3872,111.7529,142.19254,127.18439,154.8502
19,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,179.41794,136.61176,131.85956,173.78972,114.25592,155.87726,108.33749,103.62654,96.86315,142.75919,114.17297,154.34767
