,true_step1,pred_step1
0,228.0,354.97745
1,261.0,303.44318
2,283.0,291.41122
3,292.0,324.3419
4,377.0,335.58704
5,379.0,345.63477
6,315.0,336.9196
7,233.0,324.26184
8,198.0,267.26953
9,197.0,231.62195
10,226.0,235.99478
11,237.0,240.33266
12,200.0,240.4191
13,201.0,214.13768
14,193.0,210.90363
15,217.0,204.56506
16,203.0,221.04387
17,287.0,211.81897
18,155.0,260.75455
19,164.0,159.65453
20,149.0,165.71776
21,136.0,154.69238
22,138.0,143.05264
23,123.0,144.00232
24,103.0,120.035416
25,80.0,101.63658
26,72.0,94.2295
27,65.0,86.01939
28,71.0,74.695366
29,137.0,88.168106
30,154.0,136.04187
31,168.0,171.50853
32,187.0,190.12515
33,206.0,213.48405
34,231.0,248.99016
35,255.0,280.2102
36,275.0,307.93652
37,300.0,322.88184
38,332.0,338.4644
39,353.0,354.92233
40,379.0,367.09134
41,394.0,391.78088
42,428.0,403.7944
43,443.0,428.4662
44,469.0,447.20068
45,493.0,469.15594
46,502.0,488.2282
47,522.0,498.55838
48,541.0,517.28107
49,555.0,538.8251
50,580.0,549.47217
51,625.0,566.1625
52,614.0,587.15784
53,600.0,584.01953
54,636.0,590.5231
55,614.0,612.6507
56,629.0,612.4684
57,647.0,622.7967
58,664.0,627.59674
59,674.0,640.9032
60,677.0,657.736
61,705.0,663.39526
62,723.0,673.283
63,736.0,687.2445
64,758.0,698.002
65,761.0,704.06244
66,784.0,708.7918
67,789.0,722.15094
68,199.0,729.84674
69,864.0,502.44208
70,788.0,652.491
71,877.0,741.3314
72,877.0,789.2075
73,886.0,774.19904
74,884.0,749.1202
75,909.0,768.7663
76,920.0,810.44275
77,913.0,808.6574
78,936.0,788.6128
79,987.0,812.2769
80,980.0,825.98175
81,426.0,860.7885
82,1018.0,694.2234
83,954.0,789.86536
84,619.0,871.71716
85,943.0,787.334
86,958.0,811.5387
87,381.0,832.44885
88,1053.0,676.69324
89,356.0,794.1402
90,239.0,657.5082
91,295.0,525.20197
92,309.0,498.57437
93,820.0,487.15067
94,969.0,695.5858
95,816.0,838.81915
96,945.0,751.3508
97,927.0,686.64996
98,938.0,688.643
99,883.0,707.1488
100,962.0,757.8836
101,925.0,760.07776
102,905.0,746.6618
103,893.0,766.0922
104,868.0,786.69617
105,865.0,803.7634
106,887.0,813.44354
107,268.0,818.0866
108,866.0,608.466
109,592.0,705.8026
110,850.0,713.80475
111,869.0,771.8723
112,472.0,767.88135
113,869.0,593.8125
114,363.0,691.63385
115,214.0,569.36456
116,356.0,449.23508
117,275.0,443.75186
118,713.0,419.42105
119,211.0,585.648
120,166.0,410.8471
121,150.0,292.29346
122,162.0,232.6049
123,163.0,229.58607
124,195.0,208.26495
125,164.0,210.7854
126,220.0,176.65573
127,266.0,210.05667
128,330.0,251.99081
129,333.0,286.73407
130,276.0,314.2033
131,556.0,276.19006
132,300.0,413.01154
133,391.0,276.247
134,543.0,338.49463
135,325.0,421.97534
136,257.0,282.38684
137,217.0,264.9842
138,404.0,239.26147
139,177.0,348.30997
140,152.0,193.7988
141,90.0,155.38095
142,68.0,95.62008
143,50.0,111.56504
144,28.0,85.56944
145,12.0,25.51874
146,7.0,5.3058076
147,6.0,24.778563
148,6.0,22.347635
149,38.0,10.002868
150,37.0,44.21514
151,43.0,80.42101
152,50.0,107.40394
153,70.0,112.02129
154,74.0,139.57062
155,82.0,145.44788
156,106.0,163.63527
157,114.0,185.93073
158,123.0,183.37605
159,121.0,180.10126
160,130.0,173.34006
161,129.0,179.70094
162,116.0,182.70671
163,118.0,174.14049
164,134.0,173.42664
165,137.0,187.30258
166,152.0,193.75868
167,166.0,206.9013
168,171.0,222.85042
169,163.0,231.17856
170,184.0,227.81929
171,210.0,240.61166
172,224.0,263.7969
173,265.0,282.38223
174,266.0,312.24753
175,264.0,320.43307
176,287.0,323.83505
177,300.0,340.06894
178,303.0,354.2304
179,307.0,362.04617
180,346.0,367.5211
181,357.0,385.79446
182,348.0,401.8519
183,318.0,401.5594
184,319.0,386.81458
185,337.0,383.42874
186,389.0,388.497
187,549.0,420.2907
188,962.0,506.27332
189,641.0,673.7477
190,369.0,607.8905
191,338.0,480.27756
192,326.0,433.45062
193,324.0,424.26364
194,459.0,442.87296
195,400.0,490.06348
196,490.0,470.86478
197,973.0,504.52426
198,511.0,676.3996
199,515.0,590.97076
200,401.0,565.38306
201,402.0,510.7354
202,308.0,499.2735
203,299.0,474.9211
204,699.0,442.86005
205,407.0,570.0829
206,1191.0,555.7506
207,457.0,727.1058
208,1199.0,577.38666
209,1110.0,716.14844
210,1076.0,779.56836
211,1119.0,801.2082
212,773.0,813.31116
213,1127.0,722.10046
214,826.0,806.2052
215,426.0,803.87506
216,564.0,678.69415
217,644.0,640.8615
218,345.0,726.0253
219,426.0,684.3318
220,366.0,666.97754
221,350.0,593.6151
222,551.0,555.72174
223,491.0,619.0372
224,458.0,594.9317
225,417.0,531.43176
226,488.0,473.46942
227,484.0,477.8632
228,537.0,489.04306
229,482.0,528.1429
230,427.0,504.4422
231,457.0,469.56085
232,417.0,471.54865
233,1013.0,461.454
234,1013.0,639.7861
235,693.0,683.8977
236,371.0,564.501
237,328.0,442.28262
238,303.0,432.20517
239,351.0,430.15402
240,291.0,448.37885
241,278.0,379.18005
242,263.0,340.29532
243,403.0,353.5584
244,271.0,415.8211
245,293.0,336.81558
246,337.0,312.93323
247,294.0,327.78442
248,298.0,305.79614
249,288.0,303.3453
250,300.0,291.0894
251,359.0,294.5345
252,435.0,331.6659
253,362.0,366.83163
254,242.0,311.3171
255,190.0,245.36417
256,171.0,213.93939
257,180.0,197.87253
258,156.0,195.70532
259,128.0,150.48697
260,110.0,115.46693
261,90.0,114.58512
262,89.0,115.05403
263,106.0,113.43437
264,113.0,123.91417
265,192.0,124.60561
266,175.0,193.0516
267,154.0,159.272
268,92.0,134.98212
269,66.0,79.37478
270,72.0,41.766342
271,72.0,115.887924
272,79.0,126.45283
273,94.0,124.51352
274,100.0,160.61879
275,117.0,188.84296
276,135.0,236.29604
277,158.0,262.20236
278,167.0,251.58055
279,185.0,243.11053
280,193.0,244.74556
281,194.0,246.29662
282,207.0,250.19688
283,206.0,259.6781
284,221.0,263.58258
285,236.0,274.84167
286,201.0,288.64847
287,175.0,270.03796
288,145.0,250.66043
289,121.0,227.7594
290,124.0,202.81215
291,148.0,196.96033
292,140.0,211.03386
293,158.0,211.26321
294,176.0,223.39319
295,142.0,237.70422
296,149.0,221.61713
297,149.0,222.57924
298,151.0,220.90987
299,167.0,224.97516
300,138.0,235.40115
301,145.0,219.72818
302,182.0,212.85307
303,187.0,232.47859
304,302.0,249.2445
305,940.0,325.38116
306,364.0,626.54877
307,337.0,492.21814
308,299.0,438.78058
309,316.0,387.31552
310,211.0,401.93033
311,179.0,380.6017
312,164.0,320.19836
313,154.0,253.82188
314,157.0,224.39412
315,184.0,213.74786
316,233.0,230.02698
317,335.0,286.06567
318,417.0,349.53342
319,361.0,428.89618
320,353.0,434.9525
321,334.0,425.7141
322,933.0,409.42786
323,962.0,637.2898
324,1053.0,776.723
325,1018.0,802.05054
326,915.0,752.09546
327,947.0,704.78455
328,918.0,725.3525
329,998.0,774.7284
330,998.0,805.82715
331,951.0,792.11127
332,959.0,787.178
333,923.0,813.4682
334,970.0,854.2074
335,538.0,870.2707
336,1000.0,741.13544
337,633.0,802.62335
338,335.0,769.36456
339,326.0,643.997
340,282.0,562.30725
341,341.0,502.82498
342,295.0,535.1599
343,278.0,524.14056
344,941.0,457.41928
345,959.0,623.9487
346,885.0,725.56714
347,445.0,669.8014
348,274.0,497.71185
349,296.0,409.82077
350,215.0,398.38602
351,153.0,393.03387
352,216.0,324.46994
353,179.0,284.35626
354,161.0,280.54706
355,198.0,269.69727
356,208.0,264.6359
357,221.0,244.61618
358,205.0,253.77092
359,218.0,252.72647
360,206.0,252.72166
361,355.0,246.42
362,181.0,328.4657
363,319.0,253.00197
364,514.0,306.9951
365,155.0,413.8219
366,178.0,237.91902
367,144.0,220.19179
368,126.0,185.58694
369,129.0,164.39128
370,101.0,161.6963
371,80.0,117.21481
372,62.0,84.214165
373,52.0,87.80278
374,46.0,70.59566
375,39.0,67.9435
376,31.0,78.62139
377,27.0,61.80897
378,19.0,57.461655
379,20.0,48.805183
380,22.0,48.50923
381,17.0,51.29311
382,14.0,45.16249
383,11.0,39.805252
384,7.0,32.663265
385,5.0,25.800524
386,3.0,20.419985
387,2.0,14.059832
388,2.0,3.7529366
389,75.0,3.2380002
390,88.0,86.22862
391,98.0,121.375465
392,117.0,138.21257
393,111.0,161.06006
394,88.0,168.24101
395,92.0,161.03159
396,122.0,176.14355
397,191.0,199.2184
398,222.0,251.83012
399,214.0,268.68576
400,367.0,257.51575
401,369.0,363.9452
402,356.0,369.43295
403,489.0,366.99823
404,494.0,448.77975
405,542.0,451.0913
406,506.0,484.43958
407,479.0,478.12872
408,547.0,469.1778
409,590.0,531.7446
410,442.0,562.6556
411,644.0,490.5126
412,596.0,585.01544
413,592.0,581.0929
414,658.0,590.2178
415,659.0,627.0302
416,543.0,617.0241
417,682.0,588.03455
418,767.0,647.4705
419,450.0,675.87225
420,449.0,563.6643
421,508.0,558.082
422,464.0,568.0866
423,736.0,578.0627
424,684.0,674.4101
425,675.0,651.76697
426,467.0,641.28906
427,493.0,578.13525
428,443.0,558.29083
429,554.0,536.2007
430,517.0,581.7784
431,447.0,579.6868
432,894.0,546.35895
433,789.0,679.48083
434,836.0,710.1849
435,893.0,722.70636
436,874.0,725.28845
437,308.0,726.1362
438,407.0,536.2315
439,898.0,512.6172
440,913.0,666.91815
441,959.0,806.7466
442,866.0,830.5616
443,486.0,750.15326
444,473.0,622.4783
445,378.0,591.7234
446,356.0,568.5623
447,296.0,538.44464
448,290.0,492.0711
449,289.0,451.30298
450,331.0,457.85028
451,477.0,479.8885
452,873.0,521.3682
453,1034.0,658.23676
454,998.0,748.1565
455,577.0,723.31915
456,946.0,580.54395
457,343.0,669.9771
458,524.0,555.61707
459,894.0,582.7984
460,869.0,698.53046
461,865.0,751.80756
462,310.0,764.3519
463,725.0,558.3172
464,329.0,614.26697
465,253.0,537.0484
466,800.0,477.07294
467,860.0,591.41284
468,293.0,706.1903
469,273.0,519.78925
470,274.0,443.4839
471,819.0,395.18704
472,767.0,585.62756
473,744.0,691.3382
474,744.0,607.1203
475,731.0,572.2416
476,706.0,588.1742
477,682.0,600.9609
478,670.0,623.14453
479,639.0,610.5887
480,433.0,580.8841
481,566.0,518.02594
482,180.0,561.2351
483,609.0,403.01138
484,591.0,539.58923
