,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
24,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,114.18217,137.95517,132.16307,129.99956,176.29506,129.53906,180.5843,162.52118,256.3531,225.87636,208.71764,235.48494
25,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,97.69489,125.47995,123.05506,120.86459,179.3723,124.16412,179.45425,162.11642,254.65088,219.98337,207.49841,228.69719
26,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,81.59211,114.64203,118.59259,120.21034,182.63461,125.18216,178.76303,160.48581,253.64769,219.4888,205.4833,224.80693
27,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,73.05286,105.507935,120.235634,115.943436,184.21614,121.99138,177.2531,160.98537,253.77367,215.58926,202.04611,225.92415
28,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,65.75366,104.69317,121.70049,116.24257,186.74191,121.5545,176.98671,164.07306,255.27661,218.05826,207.6498,230.3347
29,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,74.45693,108.559166,128.87376,121.32471,192.31544,119.44158,182.08476,171.2945,260.56906,226.01971,212.3756,240.26485
30,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,117.12417,143.20839,150.46803,137.28621,205.01723,147.9959,221.7207,206.79468,304.05276,271.9272,258.2649,286.7554
31,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,167.78539,180.02591,171.68217,152.58539,240.88545,177.47742,249.31851,243.75714,339.56497,304.56097,291.3568,309.80283
32,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,193.42212,196.21986,183.55241,180.10472,277.87097,199.06017,270.66406,260.07117,360.4248,320.73434,299.6719,335.93753
33,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,204.73424,211.74478,215.85846,206.72041,304.2406,218.7877,281.63348,270.28732,378.72656,336.76495,320.86597,344.76837
34,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,219.23035,246.12833,257.60107,236.2629,321.493,231.83932,296.8041,295.10938,399.8735,367.91293,341.01303,364.02307
35,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,250.31837,277.828,284.56113,260.76273,332.32043,247.08826,320.96265,320.25558,426.54974,387.51022,366.81735,376.85526
36,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,274.96082,297.61713,292.35843,274.80423,347.3688,269.22928,343.70987,356.11746,451.07,411.14767,378.891,387.8304
37,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,281.54196,298.23178,289.1143,272.47116,358.9192,285.54123,369.52,378.00333,466.4722,419.3808,382.66888,383.20514
38,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,271.61725,290.9813,290.1809,281.4961,373.76382,310.31348,392.62186,396.6653,472.75568,417.97183,375.9867,386.13876
39,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,274.69614,291.8482,306.21594,298.26218,401.37885,330.92795,411.76486,401.7824,471.31628,407.4921,375.52744,405.4556
40,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,282.12103,309.6891,330.5104,326.12607,417.2841,347.4143,414.75302,401.17377,459.07993,405.55173,392.56824,418.4168
41,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,302.05557,325.56174,363.08337,349.70554,430.93362,356.93716,414.3953,392.37305,445.98813,415.27988,396.62558,431.8004
42,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,315.79474,345.2688,378.28125,370.09024,429.21304,348.19513,397.71915,378.7448,451.25446,412.5926,399.19452,438.8444
43,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,347.3001,375.87662,403.12958,378.12836,423.18393,343.94092,404.54337,395.58008,456.78235,426.42908,416.66275,455.04764
44,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,372.55304,395.16415,409.38446,368.78116,413.2544,347.04865,423.24948,406.34277,472.663,443.90665,422.97174,444.2213
45,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,395.5213,405.74817,411.4,363.66473,418.45224,364.51907,436.01407,420.3415,489.87762,454.89297,417.42673,435.28873
46,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,401.93112,408.36316,411.00253,377.30066,432.41846,381.08463,453.71512,448.59796,497.2224,449.6146,417.5626,436.25293
47,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,407.34003,410.5081,424.4775,405.92853,441.62207,408.6795,484.97586,471.81784,488.30267,447.87863,429.40094,446.21835
48,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,412.28973,431.15594,446.96722,429.5831,464.10165,448.9097,512.8948,477.39355,493.17914,460.12045,443.98343,471.83585
49,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,431.74802,469.2085,468.0282,455.72293,502.18643,480.8652,523.8919,485.3877,507.384,481.9318,473.02606,492.5241
50,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,469.49106,486.19913,489.87564,492.1506,533.8155,499.225,532.2337,501.08032,526.5027,512.91223,503.41492,513.14307
51,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,481.2766,499.14737,515.55237,522.30774,541.2368,507.58957,539.49445,523.99005,554.7343,544.11523,533.1093,519.08936
52,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,509.82715,523.5586,534.5306,520.2719,533.34033,517.76666,551.58124,557.68207,573.2641,566.8075,536.1202,536.58026
53,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,537.8808,518.9745,495.98376,488.47287,502.80664,512.485,566.4603,581.9909,577.5308,555.3555,539.6081,542.60974
54,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,555.556,542.7544,519.41156,517.73773,537.8037,542.71466,594.2815,607.91187,597.6661,577.0812,556.2254,556.93414
55,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,586.4928,575.40125,550.10535,549.62,574.5613,575.83777,624.46246,636.60364,622.31903,601.4848,574.982,577.1204
56,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,602.2099,594.37286,568.52637,575.6106,607.2815,602.3205,648.79553,662.8206,641.44147,618.6461,590.1634,591.73315
57,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,623.1078,618.3155,594.76575,607.0791,638.1075,631.3982,677.7021,687.3937,660.53467,640.71765,606.59485,605.5094
58,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,643.659,644.828,621.9032,631.8647,664.2853,659.3388,702.57086,709.4367,679.6407,661.8008,621.86975,617.4968
59,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,668.1409,670.92346,644.7554,658.6988,692.26355,685.17645,725.2918,733.9979,698.0941,677.3501,635.48157,632.0465
60,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,690.4751,692.1634,668.60846,687.79,718.84344,709.3819,749.4246,756.38104,713.82715,692.88824,650.66205,648.39935
61,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,705.19775,711.5998,690.45245,711.51495,740.1865,733.0162,769.44763,772.8538,723.3549,705.01624,661.1751,663.09436
62,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,726.24866,736.5192,713.5623,732.28235,760.52325,753.1426,786.3376,785.31824,733.0365,716.8531,672.951,675.3347
63,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,744.5284,755.65564,730.3836,753.0979,780.0632,766.91724,796.5366,795.48773,740.9993,728.14026,683.4311,685.9341
64,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,756.01544,764.5937,743.5645,769.58746,789.5585,773.80994,801.1914,800.94543,743.81006,733.81915,689.8265,690.88885
65,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,764.45685,773.5608,751.6692,775.3568,786.67255,775.383,801.63635,803.4655,742.92993,736.1856,691.1955,691.06903
66,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,772.55,782.521,755.1716,776.7067,785.7467,777.5027,806.2656,808.3968,744.2099,737.1974,693.12366,700.8746
67,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,784.5261,793.0481,762.97516,785.6499,795.8296,788.2701,817.4999,819.2957,754.33386,745.48456,707.29724,717.35065
68,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,793.475,802.301,774.07446,798.42255,808.96643,800.25836,830.56744,832.5703,765.30743,761.4194,725.0678,731.24634
69,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,633.8982,673.0204,681.7447,754.6896,781.2243,756.4881,787.0634,794.27386,727.62885,716.63605,688.6484,688.20105
70,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,755.45514,790.18677,789.21765,819.5312,798.23883,803.627,839.35767,834.36096,753.91296,762.0431,713.0326,717.2996
71,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,804.08936,840.1625,810.70575,810.5019,813.6734,821.7822,846.30835,842.18304,772.2488,765.2015,731.8427,741.565
72,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,860.3273,857.92303,802.9351,828.4347,830.25433,834.7441,852.4692,855.66016,773.19226,775.01794,752.7425,758.92487
73,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,852.64606,828.181,804.8375,828.8582,824.98444,818.94653,847.07996,833.6059,766.4571,786.05927,763.00433,749.15625
74,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,833.2112,839.8812,820.6741,837.18146,810.9703,824.8419,831.6027,836.20294,782.571,795.90576,758.9415,765.6189
75,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,848.39624,854.6704,829.54474,823.72437,809.2096,808.3278,829.09015,843.00757,776.4014,785.5986,767.35004,754.0116
76,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,866.4452,860.1525,814.7719,827.99304,787.2984,802.90845,832.82294,837.4249,759.78156,787.68964,747.3589,739.22876
77,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,870.05615,847.5729,815.4571,809.2498,777.92236,810.9621,825.46344,825.1706,761.77496,764.77075,735.1591,717.2801
78,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,850.56946,845.9798,801.76044,806.13214,786.2741,814.2959,818.9221,827.7574,748.4981,756.43024,726.16095,699.0257
79,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,864.961,833.9764,808.34766,823.30927,801.6114,812.60736,827.84314,822.8371,736.37305,746.1055,712.23706,720.5944
80,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,859.87286,845.96796,832.7741,835.5699,791.351,834.69434,824.3222,811.86835,727.15063,736.8057,737.7969,716.5673
81,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,867.9453,864.4001,838.72565,830.14307,802.4944,825.20654,813.8239,801.0611,708.17444,757.91144,733.15765,710.4026
82,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,724.66986,734.58765,737.5772,799.83185,765.36835,770.7359,759.3607,742.4968,687.10626,699.87964,689.18964,673.9175
83,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,843.32275,842.4316,858.1307,852.6816,772.2231,800.62134,778.09283,792.62524,695.2652,723.50793,711.3744,687.8206
84,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,882.99646,910.0917,865.39606,832.3542,767.34937,795.34265,801.887,774.9791,699.9985,729.62714,713.7353,707.27423
85,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,833.06903,819.0031,772.3649,790.7686,740.2009,783.8012,751.63696,744.1391,675.91693,699.2755,704.45764,704.0679
86,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,860.58295,832.08,811.4092,805.96954,760.1974,773.6353,762.02246,750.13226,672.7869,725.99225,734.70044,728.7706
87,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,862.7331,863.14935,821.4827,822.70026,732.5801,776.754,759.69934,746.3401,693.3956,754.02826,760.116,744.4325
88,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,716.9699,713.2866,727.05,737.5544,694.5055,712.17706,689.5837,706.2211,662.2714,713.8885,722.83014,710.0044
89,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,838.8192,852.151,814.8486,806.52277,697.8134,741.68066,748.9396,753.9317,690.6323,758.5674,752.6743,737.4657
90,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,721.6824,724.81683,713.41113,716.82227,647.8133,698.7983,702.3847,712.43097,666.25256,711.35974,721.0511,719.1875
91,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,584.926,612.0951,627.3003,661.60815,611.81995,651.2981,645.61523,669.34314,620.90485,680.8106,700.06134,650.11395
92,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,551.2903,583.93164,618.0638,649.80383,577.89874,608.3822,621.2244,629.8841,593.1331,667.0576,650.1888,639.06323
93,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,532.7485,589.40485,621.875,623.8626,517.8092,600.59375,588.11865,593.6512,571.35065,617.8708,652.6187,655.4143
94,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,710.31335,753.45874,701.194,655.449,580.5782,631.5432,631.2053,645.9164,590.6522,665.1522,698.459,660.4106
95,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,839.2151,813.4681,715.9009,707.5788,593.7298,666.34576,699.1789,666.0872,646.33655,704.40845,704.2144,724.7521
96,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,798.8069,725.39374,701.944,679.2893,607.59436,700.2587,691.72595,701.2026,671.7069,702.1837,764.30695,756.2575
97,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,762.44556,754.15265,719.50964,731.37384,671.97614,728.6263,762.8515,750.99976,703.80194,795.2938,827.62354,766.9768
98,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,796.60803,778.3332,766.0498,798.26056,714.2602,804.3497,826.99036,788.94183,800.86835,862.7428,846.83264,843.2261
99,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,802.066,828.35114,823.25415,825.3839,781.4371,858.01953,860.7771,885.15607,869.8347,879.36273,919.5298,850.7939
100,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,833.8146,879.45105,826.38837,884.4241,828.65924,881.00275,943.4834,940.82635,866.05316,938.6889,914.752,819.856
101,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,898.902,896.7048,875.1564,928.4158,843.79474,971.27637,1011.3265,951.7268,934.3825,930.82965,864.45825,848.98065
102,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,871.3569,906.9869,872.2237,916.5511,907.0024,1003.2902,1006.93384,995.25055,898.88995,866.84875,875.0689,845.5547
103,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,874.49744,898.8983,854.1748,976.68945,929.2139,991.5591,1045.6516,952.0344,837.26355,873.4802,868.38043,805.29645
104,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,864.63666,858.4936,895.85675,982.57983,904.82544,1019.1218,988.78705,870.4168,835.02905,857.3245,827.1833,732.20325
105,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,822.8205,900.1387,906.921,942.7853,914.80316,957.5457,895.25476,860.67114,805.2518,821.47266,759.521,640.33606
106,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,903.7404,938.2908,886.59955,979.33093,845.03644,890.222,879.96594,826.3142,739.2756,750.417,699.2523,602.3067
107,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,906.11584,893.91736,890.8286,902.903,797.9971,877.2301,853.9627,785.0049,699.922,702.7758,655.3245,624.56287
108,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,673.2856,739.4402,706.4679,775.9209,744.27484,775.99646,741.64215,674.8363,605.29553,615.971,634.8114,608.3375
