all_samples_flattening_rmse,M_step_rmse
255.95132,
,155.78093
,178.09447
,186.38576
,189.5357
,200.63173
,205.99815
,217.93361
,214.9104
,225.39462
,240.43312
,228.89124
,238.37328
,245.1944
,259.6013
,248.1453
,258.76196
,413.0909
,264.6978
,279.11304
,412.96255
,270.5672
,278.63687
,284.56488
,272.7696
