,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
809,723.0,663.0,453.0,581.0,444.0,383.0,302.0,301.0,304.0,258.0,268.0,277.0,521.5469,511.95496,529.2455,545.8441,564.7025,554.34143,575.79126,546.9205,538.43915,545.3991,531.0306,556.67456
810,663.0,453.0,581.0,444.0,383.0,302.0,301.0,304.0,258.0,268.0,277.0,265.0,632.0869,592.4049,603.5168,592.7196,614.6607,597.2864,619.5026,595.0836,569.2337,573.4141,550.9175,553.4371
811,453.0,581.0,444.0,383.0,302.0,301.0,304.0,258.0,268.0,277.0,265.0,200.0,654.5604,620.29736,615.8399,616.8563,640.59357,622.0991,641.5408,612.9446,585.137,593.9818,562.5828,581.9697
812,581.0,444.0,383.0,302.0,301.0,304.0,258.0,268.0,277.0,265.0,200.0,240.0,586.5762,561.49695,578.79694,596.86865,631.1361,597.3328,622.9508,589.61365,565.6251,572.09656,561.27075,569.4075
813,444.0,383.0,302.0,301.0,304.0,258.0,268.0,277.0,265.0,200.0,240.0,288.0,595.2665,570.48474,606.6371,615.993,639.5363,611.3198,636.5756,606.819,576.30707,591.83075,565.633,565.361
814,383.0,302.0,301.0,304.0,258.0,268.0,277.0,265.0,200.0,240.0,288.0,279.0,535.20996,547.75885,573.686,581.62195,612.1515,593.27563,619.6446,582.55994,574.2932,583.2269,540.2073,554.36945
815,302.0,301.0,304.0,258.0,268.0,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.67798,510.12207,549.99725,554.7146,585.2367,576.68896,595.0532,582.0734,565.4125,557.9116,533.7018,535.92145
816,301.0,304.0,258.0,268.0,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.0,447.34528,465.3765,511.21094,529.97144,571.80475,552.90186,589.343,576.63245,553.73535,561.2573,537.9552,541.40564
817,304.0,258.0,268.0,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.0,557.0,398.31467,437.8343,494.7716,507.33624,546.17694,541.101,563.3142,548.1594,540.64124,536.2925,523.4777,527.8802
818,258.0,268.0,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.0,557.0,443.0,386.33017,417.2492,482.96835,477.75323,549.5248,522.1384,538.99164,547.5364,530.761,527.846,510.29547,514.68823
819,268.0,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.0,557.0,443.0,275.0,359.99905,386.57288,434.5192,464.79526,529.10535,495.8941,523.2686,527.9131,517.1677,511.67914,497.21408,519.38446
820,277.0,265.0,200.0,240.0,288.0,279.0,317.0,495.0,557.0,443.0,275.0,221.0,328.82837,358.08755,427.69534,456.73828,513.6297,496.74753,526.812,517.743,516.3797,526.9735,525.46906,534.70306
821,265.0,200.0,240.0,288.0,279.0,317.0,495.0,557.0,443.0,275.0,221.0,198.0,314.11682,347.47516,421.24893,425.2856,488.50104,472.76096,493.36932,499.11108,501.84482,517.8141,489.3056,492.26315
822,200.0,240.0,288.0,279.0,317.0,495.0,557.0,443.0,275.0,221.0,198.0,134.0,300.08353,340.37802,396.45102,406.11572,463.635,454.14105,475.30286,476.83215,494.06024,486.9088,458.4805,470.58777
823,240.0,288.0,279.0,317.0,495.0,557.0,443.0,275.0,221.0,198.0,134.0,97.0,265.38568,298.81873,373.47345,380.82892,443.78265,433.4483,448.29886,464.65576,464.5585,449.64392,431.73734,441.1439
