,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
0,79.03467,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,0.0,0.0,421.36374,607.1809,759.8268,858.65295,0.0,0.0,866.47253,754.4394
1,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,193.85657,0.0,610.05884,770.9764,877.51685,916.98694,0.0,0.0,741.4818,591.8809
2,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,390.1542,0.0,771.34705,889.6782,937.7464,918.2622,0.0,0.0,574.42957,408.1422
3,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,579.3391,0.0,890.2514,949.158,934.9659,853.36475,0.0,0.0,391.60553,211.91046
4,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,740.21356,0.0,951.02295,943.9982,869.23126,735.8164,0.0,0.0,204.39265,18.73925
5,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,861.2498,0.0,948.3669,874.82697,747.2816,574.3269,0.0,0.0,22.549679,0.0
6,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,929.4419,0.0,879.04297,749.4806,585.6247,391.23926,0.0,0.0,0.0,0.0
7,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,932.56696,0.0,754.36847,586.5994,402.69458,198.1162,0.0,0.0,0.0,0.0
8,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,872.0703,0.0,597.44653,407.44366,217.02336,3.7075412,0.0,0.0,0.0,0.0
9,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,747.8616,0.0,417.40262,221.74417,35.204643,0.0,0.0,0.0,0.0,0.0
10,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,578.74744,0.0,226.72615,36.797184,0.0,0.0,0.0,0.0,0.0,0.0
