,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
1444,735.145,853.93335,926.63336,937.95,888.75,781.8983,638.75,458.07666,262.94666,109.26683,703.9788,827.84467,900.6893,885.48773,851.3771,771.8987,633.55743,454.95392,291.71475,127.09875
1445,853.93335,926.63336,937.95,888.75,781.8983,638.75,458.07666,262.94666,109.26683,5.0736666,840.2934,911.2159,912.56494,860.7169,770.4612,641.5257,478.58136,288.0492,132.88837,0.0
1446,926.63336,937.95,888.75,781.8983,638.75,458.07666,262.94666,109.26683,5.0736666,0.0,909.7668,910.6799,881.8604,780.39813,634.02686,474.31503,301.958,125.71142,0.0,0.0
1447,937.95,888.75,781.8983,638.75,458.07666,262.94666,109.26683,5.0736666,0.0,0.0,921.66705,884.70123,806.77484,660.06714,477.0151,299.28156,136.5427,0.0,0.0,0.0
1448,888.75,781.8983,638.75,458.07666,262.94666,109.26683,5.0736666,0.0,0.0,0.0,899.93365,806.0012,678.38007,504.89172,302.9203,128.95992,0.0,0.0,0.0,0.0
1449,781.8983,638.75,458.07666,262.94666,109.26683,5.0736666,0.0,0.0,0.0,0.0,804.377,660.4296,506.57867,326.33148,131.58818,0.0,0.0,0.0,0.0,0.0
1450,638.75,458.07666,262.94666,109.26683,5.0736666,0.0,0.0,0.0,0.0,0.0,656.22723,487.557,321.06357,153.38997,0.0,0.0,0.0,0.0,0.0,0.0
1451,458.07666,262.94666,109.26683,5.0736666,0.0,0.0,0.0,0.0,0.0,0.0,482.36475,296.58472,136.67462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452,262.94666,109.26683,5.0736666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.57428,106.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1453,109.26683,5.0736666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.43616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1454,5.0736666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
