all_samples_flattening_rmse,M_step_rmse
385.36163,
,241.71443
,288.05542
,336.02158
,357.77136
,365.3159
,383.87616
,386.38757
,390.13818
,394.6422
,400.81296
,405.10196
,407.23132
,411.3381
,418.61456
,408.19012
,407.83228
,397.6253
,400.4573
,396.44183
,391.29214
,397.29932
,407.79254
,400.47888
,403.06262
