,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
0,79.03467,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,1.3740067,219.19748,0.0,0.0,783.944,900.1577,0.0,970.5513,0.0,778.2498
1,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,212.17014,430.66998,0.0,0.0,907.27264,965.88513,0.0,904.20105,0.0,615.9117
2,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,421.51965,619.71735,0.0,0.0,963.94073,963.12976,0.0,777.0737,0.0,431.03348
3,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,609.6453,783.2652,0.0,0.0,958.32025,891.62366,0.0,608.6867,0.0,232.40634
4,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,771.7813,902.8509,0.0,0.0,893.34595,763.85126,0.0,414.3434,0.0,42.062588
5,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,897.741,962.97833,0.0,0.0,773.5954,600.64984,0.0,207.52739,0.0,0.0
6,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,969.29596,960.4616,0.0,0.0,607.79846,413.65506,0.0,12.143877,0.0,0.0
7,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,970.87115,890.94586,0.0,0.0,422.43878,216.84586,0.0,0.0,0.0,0.0
8,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,913.287,774.48846,0.0,0.0,229.02232,23.087708,0.0,0.0,0.0,0.0
9,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,792.56757,614.3523,0.0,0.0,47.743294,0.0,0.0,0.0,0.0,0.0
10,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,623.56335,427.70435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,425.42084,234.20952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.45166,68.18541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.72261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.139114
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.89465
17,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.133797,0.0,457.2634
18,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.60185,0.0,641.51935
19,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,0.0,0.0,0.0,0.0,0.0,34.857536,0.0,445.34103,0.0,806.19543
20,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,0.0,0.0,0.0,0.0,61.91613,241.9394,0.0,634.46844,0.0,921.177
21,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,0.0,0.0,0.0,0.0,250.86452,437.08704,0.0,799.6599,0.0,988.0365
22,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,0.0,0.0,0.0,0.0,441.9045,621.05457,0.0,922.8963,0.0,983.8276
23,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,0.0,3.9351394,0.0,0.0,624.80646,787.04004,0.0,984.4749,0.0,911.1143
24,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,9.788188,223.4774,0.0,0.0,791.68164,909.20355,0.0,980.26715,0.0,783.01697
25,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,219.95222,438.05624,0.0,0.0,915.05615,974.03687,0.0,911.66626,0.0,618.49506
26,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,430.17255,625.9443,0.0,0.0,971.6886,970.1168,0.0,782.4652,0.0,433.41507
27,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,616.78265,787.6674,0.0,0.0,962.2526,897.2489,0.0,612.12897,0.0,233.58327
28,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,85.0335,778.5022,908.11475,0.0,0.0,897.4081,767.1369,0.0,414.22958,0.0,41.61167
