,true_step1,pred_step1
0,228.0,2.0
1,261.0,2.0
2,283.0,2.0
3,292.0,2.0
4,377.0,2.0
5,379.0,2.0
6,315.0,2.0
7,233.0,2.0
8,198.0,2.0
9,197.0,2.0
10,226.0,2.0
11,237.0,2.0
12,200.0,2.0
13,201.0,2.0
14,193.0,2.0
15,217.0,2.0
16,203.0,2.0
17,287.0,2.0
18,155.0,2.0
19,164.0,2.0
20,149.0,2.0
21,136.0,2.0
22,138.0,2.0
23,123.0,2.0
24,103.0,2.0
25,80.0,2.0
26,72.0,2.0
27,65.0,2.0
28,71.0,2.0
29,137.0,2.0
30,154.0,2.0
31,168.0,2.0
32,187.0,2.0
33,206.0,2.0
34,231.0,2.0
35,255.0,2.0
36,275.0,2.0
37,300.0,2.0
38,332.0,2.0
39,353.0,2.0
40,379.0,2.0
41,394.0,2.0
42,428.0,2.0
43,443.0,2.0
44,469.0,2.0
45,493.0,2.0
46,502.0,2.0
47,522.0,2.0
48,541.0,2.0
49,555.0,2.0
50,580.0,2.0
51,625.0,2.0
52,614.0,2.0
53,600.0,2.0
54,636.0,2.0
55,614.0,2.0
56,629.0,2.0
57,647.0,2.0
58,664.0,2.0
59,674.0,2.0
60,677.0,2.0
61,705.0,2.0
62,723.0,2.0
63,736.0,2.0
64,758.0,2.0
65,761.0,2.0
66,784.0,2.0
67,789.0,2.0
68,199.0,2.0
69,864.0,2.0
70,788.0,2.0
71,877.0,2.0
72,877.0,2.0
73,886.0,2.0
74,884.0,2.0
75,909.0,2.0
76,920.0,2.0
77,913.0,2.0
78,936.0,2.0
79,987.0,2.0
80,980.0,2.0
81,426.0,2.0
82,1018.0,2.0
83,954.0,2.0
84,619.0,2.0
85,943.0,2.0
86,958.0,2.0
87,381.0,2.0
88,1053.0,2.0
89,356.0,2.0
90,239.0,2.0
91,295.0,2.0
92,309.0,2.0
93,820.0,2.0
94,969.0,2.0
95,816.0,2.0
96,945.0,2.0
97,927.0,2.0
98,938.0,2.0
99,883.0,2.0
100,962.0,2.0
101,925.0,2.0
102,905.0,2.0
103,893.0,2.0
104,868.0,2.0
105,865.0,2.0
106,887.0,2.0
107,268.0,2.0
108,866.0,2.0
109,592.0,2.0
110,850.0,2.0
111,869.0,2.0
112,472.0,2.0
113,869.0,2.0
114,363.0,2.0
115,214.0,2.0
116,356.0,2.0
117,275.0,2.0
118,713.0,2.0
119,211.0,2.0
120,166.0,2.0
121,150.0,2.0
122,162.0,2.0
123,163.0,2.0
124,195.0,2.0
125,164.0,2.0
126,220.0,2.0
127,266.0,2.0
128,330.0,2.0
129,333.0,2.0
130,276.0,2.0
131,556.0,2.0
132,300.0,2.0
133,391.0,2.0
134,543.0,2.0
135,325.0,2.0
136,257.0,2.0
137,217.0,2.0
138,404.0,2.0
139,177.0,2.0
140,152.0,2.0
141,90.0,2.0
142,68.0,2.0
143,50.0,2.0
144,28.0,2.0
145,12.0,2.0
146,7.0,2.0
147,6.0,2.0
148,6.0,2.0
149,38.0,2.0
150,37.0,2.0
151,43.0,2.0
152,50.0,2.0
153,70.0,2.0
154,74.0,2.0
155,82.0,2.0
156,106.0,2.0
157,114.0,2.0
158,123.0,2.0
159,121.0,2.0
160,130.0,2.0
161,129.0,2.0
162,116.0,2.0
163,118.0,2.0
164,134.0,2.0
165,137.0,2.0
166,152.0,2.0
167,166.0,2.0
168,171.0,2.0
169,163.0,2.0
170,184.0,2.0
171,210.0,2.0
172,224.0,2.0
173,265.0,2.0
174,266.0,2.0
175,264.0,2.0
176,287.0,2.0
177,300.0,2.0
178,303.0,2.0
179,307.0,2.0
180,346.0,2.0
181,357.0,2.0
