,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
30,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,247.0453,281.16153,271.66318,261.69897,269.91324,241.0394,2.0,293.86902,2.0,281.9183
31,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,239.80663,271.39835,265.55637,250.98334,260.66263,231.58046,2.0,289.13226,2.0,279.09747
32,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,233.5048,261.62332,260.59375,245.39015,253.90178,231.04962,2.0,285.9097,2.0,279.99704
33,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,228.0759,254.30276,258.07,243.39491,249.48453,232.81248,2.0,282.0059,2.0,282.46515
34,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,220.13623,246.7502,256.73245,241.33937,250.7543,232.87721,2.0,280.1216,2.0,287.43555
35,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,219.00078,242.73259,255.38037,242.804,252.58194,233.38565,2.0,282.2776,2.0,293.33292
36,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,220.35316,243.39395,256.05472,243.2748,252.6295,232.90666,2.0,284.139,2.0,299.99084
37,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,221.43791,247.62704,255.87038,251.88097,257.072,239.94122,2.0,291.63934,2.0,302.7187
38,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,228.76532,251.96906,259.93164,258.3084,261.57303,246.66118,2.0,299.11456,2.0,308.12564
39,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,238.01306,262.7686,265.55762,266.96313,268.15097,256.85333,2.0,310.42105,2.0,313.005
40,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,246.4699,269.4162,273.19296,275.5238,272.05624,263.2078,2.0,320.49255,2.0,322.1098
41,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,253.31448,275.60742,280.03525,282.77893,276.96356,271.16498,2.0,327.50778,2.0,329.99783
42,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,258.68484,279.35464,284.98718,289.9753,283.29636,279.8838,2.0,335.84625,2.0,337.1305
43,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,266.0381,286.4873,295.25803,299.3243,294.20248,288.602,2.0,345.48376,2.0,345.51926
44,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,275.47998,293.77063,304.90994,311.08353,305.52924,299.8937,2.0,357.53595,2.0,355.52957
45,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,286.8928,299.84344,315.63406,324.63272,316.3446,312.32462,2.0,364.771,2.0,367.24655
46,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,301.2801,309.63474,324.57535,338.47986,327.42578,328.16574,2.0,370.74533,2.0,378.18555
47,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,313.3766,321.1805,334.11038,352.92786,336.21295,341.9105,2.0,382.61642,2.0,389.54355
48,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,326.2096,333.80273,348.24698,365.94693,351.21915,353.7415,2.0,396.22586,2.0,402.20947
49,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,339.32175,349.94763,361.76138,378.62613,360.50345,364.65836,2.0,407.2195,2.0,416.9426
50,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,355.044,366.14267,378.8905,391.62936,371.00095,375.00348,2.0,421.07446,2.0,430.4117
51,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,370.98526,385.63312,394.55518,402.80618,385.93384,385.94714,2.0,435.36105,2.0,442.60443
52,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,390.58566,400.82812,408.83704,415.9965,400.10965,399.14114,2.0,451.30728,2.0,455.4273
53,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,408.56134,414.823,420.9855,429.4626,412.18353,411.14142,2.0,463.11984,2.0,464.60052
54,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,418.01678,422.1755,428.1777,435.11963,417.36588,417.18115,2.0,466.61847,2.0,466.3385
55,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,427.24634,429.74588,435.57196,440.9537,422.40323,423.6573,2.0,470.4138,2.0,468.23154
56,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,436.73062,437.7996,443.0026,447.4451,427.79788,430.398,2.0,473.61963,2.0,470.4901
57,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,446.61542,445.6287,449.80038,454.58847,434.39706,437.10312,2.0,477.68094,2.0,471.9889
58,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,456.47595,453.05225,456.94757,460.61426,440.74295,443.2692,2.0,481.0728,2.0,474.45895
59,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,466.1433,459.97018,463.32434,466.0257,445.69196,448.7484,2.0,484.33066,2.0,477.05832
60,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,475.283,466.8687,469.49307,471.89777,450.7553,454.43298,2.0,488.04636,2.0,479.06827
61,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,483.68134,473.80228,476.16937,477.05005,455.9644,460.13187,2.0,491.5628,2.0,480.87793
62,723.0,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,491.37714,480.81256,482.96826,483.12405,461.31784,465.56427,2.0,494.83527,2.0,483.5876
63,736.0,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,500.1327,487.5712,489.89648,488.70447,466.52014,470.44434,2.0,497.552,2.0,486.53598
64,758.0,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,509.5158,495.41672,496.9785,493.99307,471.73233,475.37054,2.0,501.59802,2.0,489.58157
65,761.0,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,518.52386,502.75208,503.83218,499.83398,477.05325,480.88068,2.0,506.36426,2.0,492.2556
66,784.0,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,527.9159,509.66974,510.25143,505.1457,482.37784,485.83032,2.0,510.20132,2.0,494.77283
67,789.0,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,536.2767,516.8621,516.5943,511.01236,486.9633,490.76743,2.0,513.6934,2.0,496.68896
68,199.0,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,544.43567,524.6588,523.42566,516.7223,491.62384,495.75436,2.0,517.0863,2.0,498.31345
69,864.0,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,544.0942,527.77515,523.9007,517.64636,493.91034,499.95923,2.0,514.3199,2.0,495.2834
70,788.0,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,551.3563,534.3564,526.29565,521.91394,495.6705,500.80515,2.0,517.08984,2.0,494.3719
71,877.0,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,557.10767,537.63934,532.8857,523.19525,498.54196,503.50714,2.0,518.0935,2.0,496.86014
72,877.0,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,566.2371,541.20996,535.7734,527.3398,502.02063,506.60657,2.0,521.67944,2.0,495.966
73,886.0,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,575.9028,547.7821,542.9482,531.0162,506.8247,510.7432,2.0,523.9388,2.0,496.0349
74,884.0,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,577.5905,552.1909,548.4232,532.5517,509.07507,511.23456,2.0,525.0921,2.0,498.09393
75,909.0,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,583.6314,554.019,553.88495,540.92896,514.1289,518.59766,2.0,528.38556,2.0,502.08694
76,920.0,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,591.91644,563.78925,560.10443,542.0103,518.4396,521.8069,2.0,530.7049,2.0,503.52258
77,913.0,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,597.9404,569.26025,565.59106,547.0829,522.6586,524.6835,2.0,534.7194,2.0,505.21848
78,936.0,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,606.1974,575.27246,569.07495,553.4931,525.9418,528.69354,2.0,534.59503,2.0,509.88162
79,987.0,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,614.419,581.125,573.1013,555.86865,529.55505,532.4206,2.0,541.62744,2.0,507.4402
80,980.0,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,623.25916,588.771,581.68054,560.52167,532.09375,534.6828,2.0,549.3158,2.0,511.15903
81,426.0,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,629.90906,595.7255,586.35223,568.0457,536.3739,538.76434,2.0,550.75665,2.0,514.93115
82,1018.0,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,629.56256,593.9841,585.88776,568.9909,537.2178,544.6175,2.0,544.5268,2.0,513.3815
83,954.0,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,630.92194,600.9448,587.62665,571.1902,538.8404,544.06464,2.0,546.6299,2.0,513.6839
84,619.0,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,633.2305,603.60266,592.0665,569.8755,540.0922,545.15436,2.0,548.8641,2.0,512.8131
85,943.0,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,639.6486,602.1881,591.1992,571.0072,541.98285,544.2058,2.0,552.316,2.0,511.76865
86,958.0,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,641.95,605.01697,595.52954,573.40247,543.5848,544.5486,2.0,549.67426,2.0,507.37506
87,381.0,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,637.9977,605.8924,594.7142,572.3803,539.70087,546.107,2.0,547.9319,2.0,509.29727
88,1053.0,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,636.66907,597.1173,595.11743,571.6241,540.4321,549.1071,2.0,545.09503,2.0,508.8291
89,356.0,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,642.26495,606.51056,596.79456,576.4908,542.6352,547.33057,2.0,543.2,2.0,503.88135
90,239.0,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,633.1084,597.1182,595.7204,570.3522,537.1384,543.57385,2.0,539.3358,2.0,502.93982
91,295.0,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,624.2021,593.6172,585.2118,565.8235,534.5242,544.3738,2.0,528.5799,2.0,498.59454
92,309.0,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,621.52,594.30237,578.4244,557.637,531.53564,539.90894,2.0,525.1612,2.0,490.12363
93,820.0,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,615.9879,591.2051,579.107,552.3683,528.26373,535.29944,2.0,525.9839,2.0,487.6288
94,969.0,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,618.37775,585.5418,574.4314,556.8477,525.50574,533.3031,2.0,519.49286,2.0,486.5472
95,816.0,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,623.24066,582.9004,576.73926,548.58923,523.9342,529.59467,2.0,515.4759,2.0,481.6136
96,945.0,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,618.59094,579.8507,578.8108,546.77686,523.548,525.8645,2.0,516.7088,2.0,479.0748
97,927.0,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,618.72345,584.0385,579.1956,546.7072,523.2613,524.0985,2.0,513.4246,2.0,478.2296
98,938.0,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,623.02515,584.2184,581.8065,544.9326,525.829,524.2769,2.0,518.7771,2.0,477.65762
99,883.0,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,625.6485,589.31647,587.34076,550.04926,529.8207,526.1216,2.0,519.373,2.0,482.80563
100,962.0,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,628.2414,598.32635,581.11255,553.1104,529.4763,530.3334,2.0,517.922,2.0,479.7278
101,925.0,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,639.64075,596.22266,584.49347,549.0874,529.6752,526.9507,2.0,524.39667,2.0,481.59586
102,905.0,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,640.4711,603.5354,586.0026,558.805,532.8017,525.6153,2.0,527.14844,2.0,482.4201
103,893.0,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,640.0978,601.743,581.6889,560.0984,527.0963,526.30023,2.0,529.7392,2.0,478.07504
104,868.0,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,640.43317,602.5653,584.4331,557.10205,528.02405,526.23505,2.0,529.4612,2.0,485.67557
105,865.0,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,632.7351,604.60956,584.0304,562.53754,531.50604,524.2481,2.0,521.4569,2.0,486.71927
106,887.0,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,633.8571,605.1003,580.65594,564.8699,530.6678,528.70306,2.0,525.8908,2.0,488.65198
107,268.0,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,634.3249,604.42664,585.18066,554.11554,530.4801,520.38086,2.0,531.7165,2.0,490.72183
108,866.0,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,622.83014,604.6855,577.55725,555.8145,529.8298,516.5233,2.0,529.25793,2.0,482.28397
109,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,624.8202,598.43616,576.00867,555.6088,522.0276,512.78064,2.0,532.92316,2.0,482.78317
110,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,614.2241,594.45447,578.2214,548.6095,520.03827,511.96323,2.0,524.96747,2.0,478.16714
111,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,614.6956,589.1965,574.2924,552.8082,515.5388,505.48923,2.0,523.80695,2.0,471.78104
112,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,620.2163,587.7868,580.70526,552.6683,515.516,506.2579,2.0,524.046,2.0,471.66437
113,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,607.8746,581.06964,573.9206,543.65344,510.6742,499.63513,2.0,513.53796,2.0,464.0563
114,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,610.23694,580.4415,569.20984,546.78766,511.3169,503.58218,2.0,513.6209,2.0,465.784
115,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,606.77765,582.7541,567.91907,535.1895,513.33746,505.24896,2.0,508.36026,2.0,465.26828
116,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,600.6079,578.6959,558.64996,533.75507,513.72845,504.08652,2.0,503.27478,2.0,460.16156
117,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,596.55945,575.2146,550.6758,530.1815,508.6172,500.3715,2.0,494.17783,2.0,457.98666
118,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,581.35077,563.20404,538.8846,515.26013,499.36328,490.57758,2.0,485.85202,2.0,446.4238
119,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,579.11395,554.89404,532.85706,509.78287,491.77588,481.59235,2.0,483.95734,2.0,442.37302
120,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,566.63983,547.5663,526.11084,497.7944,485.78833,472.8184,2.0,474.14273,2.0,433.60382
121,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,548.3963,530.3844,513.47546,486.46423,474.42786,463.57266,2.0,460.35907,2.0,423.0522
122,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,528.2688,522.17865,500.77908,474.3825,463.57135,454.687,2.0,445.10086,2.0,417.06274
123,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,300.0,509.14267,509.79556,487.6678,455.97406,452.61685,443.06665,2.0,434.9138,2.0,400.9879
124,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,300.0,391.0,502.74026,497.946,476.67514,445.62454,443.33643,431.2877,2.0,429.31976,2.0,394.58228
125,164.0,220.0,266.0,330.0,333.0,276.0,556.0,300.0,391.0,543.0,487.33182,487.1084,464.93204,430.21942,432.17435,415.34064,2.0,414.4707,2.0,380.3765
126,220.0,266.0,330.0,333.0,276.0,556.0,300.0,391.0,543.0,325.0,472.78018,469.54333,447.6294,418.3247,417.66263,406.61502,2.0,404.93625,2.0,368.2092
127,266.0,330.0,333.0,276.0,556.0,300.0,391.0,543.0,325.0,257.0,460.57016,456.86023,441.18707,403.48853,406.2971,392.66058,2.0,397.33423,2.0,361.4444
128,330.0,333.0,276.0,556.0,300.0,391.0,543.0,325.0,257.0,217.0,445.8041,448.64514,430.94128,397.23248,399.1904,385.28244,2.0,386.832,2.0,346.40536
129,333.0,276.0,556.0,300.0,391.0,543.0,325.0,257.0,217.0,404.0,438.21982,432.91354,421.60568,388.598,386.68954,374.94366,2.0,375.94604,2.0,346.5148
130,276.0,556.0,300.0,391.0,543.0,325.0,257.0,217.0,404.0,177.0,422.67795,427.0503,412.4941,378.3156,383.00418,370.03738,2.0,361.20346,2.0,337.06775
131,556.0,300.0,391.0,543.0,325.0,257.0,217.0,404.0,177.0,152.0,415.71783,420.81946,398.53357,367.40338,374.9153,360.4313,2.0,359.8621,2.0,331.11707
132,300.0,391.0,543.0,325.0,257.0,217.0,404.0,177.0,152.0,90.0,419.26224,420.6648,401.30826,360.37677,373.80026,351.0784,2.0,368.98434,2.0,333.7071
133,391.0,543.0,325.0,257.0,217.0,404.0,177.0,152.0,90.0,68.0,410.2728,414.74753,394.31195,359.18567,369.12088,345.65155,2.0,365.05826,2.0,328.8949
134,543.0,325.0,257.0,217.0,404.0,177.0,152.0,90.0,68.0,50.0,405.7357,405.34393,387.7856,355.722,360.62924,340.5866,2.0,364.05035,2.0,329.44092
135,325.0,257.0,217.0,404.0,177.0,152.0,90.0,68.0,50.0,28.0,395.0443,403.26028,385.72522,350.4953,355.14142,335.4539,2.0,357.7854,2.0,325.8988
136,257.0,217.0,404.0,177.0,152.0,90.0,68.0,50.0,28.0,12.0,386.89136,396.29755,376.68582,349.44778,350.1663,327.6579,2.0,357.12537,2.0,325.0225
137,217.0,404.0,177.0,152.0,90.0,68.0,50.0,28.0,12.0,7.0,384.1734,387.68503,375.30835,346.98395,347.72058,323.7933,2.0,357.5751,2.0,323.70517
138,404.0,177.0,152.0,90.0,68.0,50.0,28.0,12.0,7.0,6.0,367.69962,385.97205,362.43332,339.74585,340.4192,315.9555,2.0,350.6843,2.0,319.5541
139,177.0,152.0,90.0,68.0,50.0,28.0,12.0,7.0,6.0,6.0,361.7314,379.22034,356.34528,335.99774,335.3127,310.80667,2.0,352.4387,2.0,323.8421
140,152.0,90.0,68.0,50.0,28.0,12.0,7.0,6.0,6.0,38.0,357.75528,377.6261,353.71237,335.57135,337.2725,312.16916,2.0,349.75262,2.0,322.92084
141,90.0,68.0,50.0,28.0,12.0,7.0,6.0,6.0,38.0,37.0,350.5572,372.22913,348.04996,333.56018,333.56775,305.48975,2.0,350.28354,2.0,316.80576
142,68.0,50.0,28.0,12.0,7.0,6.0,6.0,38.0,37.0,43.0,337.08197,363.2663,342.4485,330.81192,324.6926,300.4832,2.0,343.91074,2.0,314.88684
143,50.0,28.0,12.0,7.0,6.0,6.0,38.0,37.0,43.0,50.0,319.71262,351.2068,330.02042,320.59955,316.61768,291.72635,2.0,333.34457,2.0,309.51022
144,28.0,12.0,7.0,6.0,6.0,38.0,37.0,43.0,50.0,70.0,311.21976,343.06927,325.0747,314.76605,310.92554,290.53912,2.0,330.00424,2.0,304.48584
145,12.0,7.0,6.0,6.0,38.0,37.0,43.0,50.0,70.0,74.0,299.96732,339.11328,318.32312,306.12854,306.19495,282.26184,2.0,322.61392,2.0,301.69812
146,7.0,6.0,6.0,38.0,37.0,43.0,50.0,70.0,74.0,82.0,290.18915,327.098,308.48846,301.3327,300.53165,278.5349,2.0,313.52902,2.0,295.86963
147,6.0,6.0,38.0,37.0,43.0,50.0,70.0,74.0,82.0,106.0,282.84158,316.34064,301.55997,293.41586,294.74878,272.35037,2.0,306.78302,2.0,291.27997
148,6.0,38.0,37.0,43.0,50.0,70.0,74.0,82.0,106.0,114.0,269.90994,310.12555,295.7457,282.52103,288.30185,266.69016,2.0,301.18817,2.0,281.6172
149,38.0,37.0,43.0,50.0,70.0,74.0,82.0,106.0,114.0,123.0,263.37704,301.37695,285.61172,273.13586,278.0994,260.4527,2.0,292.8978,2.0,277.9755
150,37.0,43.0,50.0,70.0,74.0,82.0,106.0,114.0,123.0,121.0,253.81253,285.66528,277.81268,259.48795,272.10208,252.52934,2.0,281.86835,2.0,268.69647
151,43.0,50.0,70.0,74.0,82.0,106.0,114.0,123.0,121.0,130.0,239.72423,273.29276,267.13287,248.48984,261.3552,246.43362,2.0,269.1133,2.0,258.53116
152,50.0,70.0,74.0,82.0,106.0,114.0,123.0,121.0,130.0,129.0,230.0622,263.34854,257.01218,233.56898,249.92166,237.09602,2.0,264.36038,2.0,255.61148
