,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6
592,153.0,154.0,136.0,186.0,189.0,172.0,200.84795,157.2106,105.66511,81.981476,159.42688,198.87367
593,154.0,136.0,186.0,189.0,172.0,166.0,183.60446,136.71019,90.03173,68.12564,150.29883,184.44402
594,136.0,186.0,189.0,172.0,166.0,141.0,180.45624,135.70563,94.91917,74.64267,154.81561,187.41928
595,186.0,189.0,172.0,166.0,141.0,163.0,173.45724,129.35873,96.86791,78.29322,155.54091,192.68849
596,189.0,172.0,166.0,141.0,163.0,179.0,200.84586,169.45203,130.66461,106.52733,183.55963,223.35487
597,172.0,166.0,141.0,163.0,179.0,136.0,226.02008,193.88408,151.90196,132.26828,208.73964,261.00705
598,166.0,141.0,163.0,179.0,136.0,109.0,227.62598,193.05992,158.92514,145.42087,230.9074,286.69836
599,141.0,163.0,179.0,136.0,109.0,91.0,218.81024,194.12625,168.7923,168.73386,248.8779,297.92465
600,163.0,179.0,136.0,109.0,91.0,92.0,207.76576,191.47237,178.82114,179.82822,245.45992,293.04642
601,179.0,136.0,109.0,91.0,92.0,103.0,231.71411,225.87872,208.3302,197.77158,254.7503,294.5554
602,136.0,109.0,91.0,92.0,103.0,119.0,268.25955,259.88763,231.83328,218.14618,260.63876,310.38232
603,109.0,91.0,92.0,103.0,119.0,121.0,255.86401,239.93468,213.10045,198.58678,245.11513,299.8896
604,91.0,92.0,103.0,119.0,121.0,122.0,222.84164,212.40051,184.21646,176.94778,222.96613,266.85574
605,92.0,103.0,119.0,121.0,122.0,111.0,193.50584,182.20241,160.97908,154.68997,189.01569,230.4271
606,103.0,119.0,121.0,122.0,111.0,93.0,183.18433,177.9409,150.48297,135.6591,168.10155,210.53171
607,119.0,121.0,122.0,111.0,93.0,81.0,195.77869,187.20114,148.37666,128.46245,162.56462,206.82816
608,121.0,122.0,111.0,93.0,81.0,96.0,210.61308,196.49223,154.22275,133.64417,171.81369,217.42494
609,122.0,111.0,93.0,81.0,96.0,82.0,211.15523,196.2403,156.85217,143.39038,186.46883,232.39946
610,111.0,93.0,81.0,96.0,82.0,66.0,206.79643,197.90085,163.40242,157.03957,204.05986,246.55309
611,93.0,81.0,96.0,82.0,66.0,73.0,193.56053,191.30544,162.02007,163.57042,206.959,252.78311
612,81.0,96.0,82.0,66.0,73.0,84.0,173.9875,178.98552,156.03061,154.564,201.0175,244.99556
613,96.0,82.0,66.0,73.0,84.0,100.0,162.14131,171.38934,147.41795,146.21198,189.53123,233.8266
614,82.0,66.0,73.0,84.0,100.0,77.0,178.81105,184.04315,160.97955,155.49225,192.85097,242.73874
615,66.0,73.0,84.0,100.0,77.0,89.0,177.98198,186.71025,163.19057,157.3493,199.80762,245.02332
616,73.0,84.0,100.0,77.0,89.0,83.0,164.29521,174.14023,149.1621,154.1929,191.21967,238.65399
617,84.0,100.0,77.0,89.0,83.0,81.0,160.96661,174.50447,154.38062,156.44167,192.04001,236.78091
618,100.0,77.0,89.0,83.0,81.0,52.0,170.1526,189.33426,166.60873,168.72469,199.73172,234.57933
619,77.0,89.0,83.0,81.0,52.0,37.0,193.15405,208.58684,187.86794,184.501,205.52872,236.69421
620,89.0,83.0,81.0,52.0,37.0,40.0,178.68123,194.49109,177.31125,170.61032,189.95457,220.11482
621,83.0,81.0,52.0,37.0,40.0,22.0,177.3605,194.63135,174.33241,164.96172,182.96912,215.58018
622,81.0,52.0,37.0,40.0,22.0,18.0,173.7612,186.77774,165.2336,155.23294,176.84097,217.42441
623,52.0,37.0,40.0,22.0,18.0,9.0,167.45132,181.07887,160.08467,153.01321,181.83203,221.06863
624,37.0,40.0,22.0,18.0,9.0,33.0,128.19827,146.31161,134.1334,137.1748,168.33261,204.81737
