all_samples_flattening_rmse,M_step_rmse
204.43634,
,141.80025
,156.08038
,165.21053
,179.49437
,181.29971
,187.07413
,189.92963
,195.45134
,198.65863
,202.79369
,201.23938
,201.1569
,202.27058
,206.7785
,212.46677
,214.37845
,214.65857
,218.28545
,225.63612
,225.69182
,234.94228
,236.03017
,239.72504
,238.04399
