RMSE,nRMSE,MAPE,sMAPE,R2
133.9778384433234,0.42914788265447357,0.27765745408322823,0.3208573228514153,0.7534572629190853
151.10669601883404,0.48419342862420356,0.3338990880179078,0.3884569041703476,0.6865200653331425
164.43967186027282,0.527148089994395,0.35827802688108884,0.4280610643287413,0.6289116465029305
173.41544249127566,0.5561895864203688,0.3907880084298799,0.4587137434741928,0.5874520755999083
180.3598549545895,0.5788066766491897,0.4108817771401151,0.46950156205518595,0.553972605475874
191.7973904511618,0.6160983578934528,0.4548913596575894,0.5234382669798219,0.49585512188687886
189.33750035806486,0.6087906826507553,0.4529247931298957,0.5075045926797268,0.5089519879167359
191.1466136777539,0.6150307502809865,0.47159326197467,0.5262169642059629,0.49977657794169594
198.767488215219,0.6397900370962261,0.5068362728701223,0.558571624271231,0.4593117143526181
202.7934056097735,0.6529746828468658,0.514341028994333,0.5586170110826287,0.4374491478338295
204.0858134716511,0.6573662880765464,0.5206693431271392,0.5667182628085982,0.4305262514960284
204.5635215267362,0.659221246182692,0.5192401377555491,0.5642812467162365,0.42820039546132627
212.36806794066382,0.6847449709497736,0.5421439,0.5819047483649731,0.3841489993977574
208.3451073751395,0.6720707410829089,0.522284995481652,0.5706585428079989,0.40763337547075207
209.64998655231486,0.6765766362765389,0.5344444288744189,0.5836923139801241,0.400560225382501
210.59354270376937,0.6798965708963373,0.5375661112950928,0.6092771149906384,0.39550318249073846
212.7922115803857,0.6873044230104277,0.5397068010667175,0.6290428211453959,0.3831707137206296
217.58890893570404,0.7031168764642737,0.55557551322315,0.6293965314778817,0.35545864526809834
220.20841573213548,0.7120983414981752,0.5527517130030274,0.6050177593920085,0.3403196178903819
224.63162232762124,0.7262575190285689,0.5749186159438678,0.6432551021853787,0.3134048948160405
227.31132877193036,0.7350870350066439,0.5795984554652172,0.6462272508343866,0.297159058417652
228.7009856584445,0.7397845576994615,0.5801357155775282,0.7019552507728148,0.28886224430173846
233.2304477317583,0.7546323226886075,0.5945864804087674,0.7209252605978199,0.2607495279009394
234.0405396041465,0.7574678035352931,0.6020267685533388,0.721973740562998,0.2559732194413501
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
202.61441083902056,0.6480748128127986,0.49698916878976235,0.5630943751140212,0.439722023217443
